,predicted_label,label,model correct
18634,1,1,True
1333,1,0,False
20315,1,1,True
6357,1,0,False
10496,1,0,False
23567,0,1,False
501,0,0,True
11332,1,0,False
1744,0,0,True
19340,1,1,True
15097,0,1,False
24068,1,1,True
12727,0,1,False
21140,0,1,False
8872,0,0,True
15312,0,1,False
5009,0,0,True
13243,1,1,True
19796,0,1,False
20175,1,0,False
14844,1,1,True
2355,1,0,False
10068,1,0,False
14586,1,1,True
14990,1,1,True
21034,1,1,True
2859,1,0,False
3571,1,0,False
2673,0,0,True
23270,0,1,False
10501,1,0,False
12285,1,1,True
16599,0,1,False
6372,1,0,False
8336,0,0,True
17919,1,1,True
23072,1,0,False
1052,0,1,False
3676,0,0,True
22817,0,1,False
11967,0,1,False
14583,1,1,True
2886,1,0,False
24964,0,1,False
9064,0,0,True
21708,1,1,True
3313,1,0,False
9107,1,0,False
9202,1,0,False
18418,1,1,True
12524,0,1,False
14303,1,1,True
6724,1,0,False
13634,0,1,False
17281,0,1,False
17276,0,1,False
16811,1,1,True
24335,0,1,False
4441,0,0,True
21674,0,1,False
7510,0,0,True
10661,1,0,False
3713,0,0,True
1764,1,0,False
21505,1,1,True
13373,0,1,False
1879,1,0,False
992,1,0,False
4734,0,0,True
16708,0,1,False
5139,0,1,False
2026,1,0,False
12716,1,1,True
8318,0,0,True
24145,0,1,False
19692,1,1,True
13887,0,1,False
13340,0,1,False
20063,1,1,True
13638,1,1,True
16815,0,1,False
9632,0,0,True
12104,0,1,False
1065,0,1,False
23388,1,1,True
12193,1,0,False
5302,1,0,False
4934,1,0,False
719,0,0,True
22669,1,1,True
17383,0,1,False
13313,1,1,True
9420,1,0,False
11567,1,0,False
4216,1,0,False
9838,0,1,False
12718,1,1,True
15221,0,1,False
172,1,0,False
18855,0,1,False
13048,0,1,False
23606,0,1,False
6040,0,1,False
14248,1,1,True
18752,0,1,False
9090,1,0,False
8073,0,1,False
1709,0,0,True
783,0,0,True
9451,1,0,False
8558,1,0,False
24925,1,1,True
17515,0,1,False
18573,1,1,True
10692,0,1,False
19650,0,1,False
8137,1,0,False
1487,0,0,True
6718,0,1,False
13350,0,1,False
20947,1,1,True
2208,0,0,True
1392,1,0,False
18934,0,1,False
9846,0,1,False
2037,1,0,False
10229,1,0,False
13715,0,1,False
9495,0,0,True
24590,0,1,False
16287,1,0,False
12827,0,1,False
5221,0,0,True
22902,1,1,True
7964,0,1,False
467,1,0,False
4295,0,0,True
24403,1,1,True
929,1,0,False
6368,1,0,False
14591,0,1,False
3787,0,0,True
5309,1,0,False
11213,1,0,False
21637,0,1,False
20013,0,1,False
24532,1,1,True
2542,0,0,True
3601,1,0,False
11487,0,0,True
16563,1,1,True
16589,0,1,False
6297,1,0,False
22323,1,1,True
11184,0,1,False
16345,1,1,True
1900,0,0,True
16391,0,1,False
23884,0,1,False
11675,0,0,True
23868,1,0,False
6249,1,0,False
6679,0,0,True
17523,1,1,True
15586,0,1,False
14718,1,1,True
4747,1,0,False
11709,0,0,True
7772,0,0,True
2496,0,0,True
20371,0,1,False
17722,0,1,False
11920,0,0,True
11949,1,0,False
23320,0,1,False
13194,1,1,True
21187,1,1,True
12986,1,1,True
6908,0,0,True
14994,1,1,True
20324,0,1,False
14753,0,1,False
21844,1,1,True
2762,1,0,False
4693,0,0,True
12680,1,1,True
6142,0,0,True
17754,0,1,False
17176,0,1,False
24811,1,1,True
24947,0,1,False
851,1,0,False
12343,1,0,False
12037,1,0,False
16665,1,1,True
13412,1,1,True
7539,0,0,True
7408,0,0,True
8827,1,0,False
1984,1,0,False
12969,0,1,False
16000,1,1,True
873,0,0,True
1443,1,0,False
